date,description,amount,category
2025-06-19,ZARA store #949,-106.11,Shopping
2025-05-14,POS PURCHASE EXXON,-89.93,Transport
2025-10-10,DOORDASH store #723,-9.5,Dining
2026-02-02,UBER EATS,-70.26,Dining
2026-01-31,SHELL store #695,-65.87,Transport
2025-08-23,AMAZON,-61.6,Shopping
2025-03-09,POS PURCHASE WHOLE FOODS,-198.25,Groceries
2025-04-02,UBER EATS,-79.6,Dining
2025-08-20,SOUTHWEST,-124.67,Transport
2025-02-27,ZARA,-102.02,Shopping
2025-09-30,MORTGAGE store #627,-1877.73,Rent
2025-12-27,POS PURCHASE AT&T,-36.49,Utilities
2025-10-05,LYFT,-155.64,Transport
2025-12-21,APARTMENT RENT,-1065.73,Rent
2025-03-05,SALARY store #189,4761.83,Income
2025-05-23,QUEST DIAGNOSTICS,-36.86,Health
2025-06-20,DOORDASH,-38.89,Dining
2025-09-28,SALARY,3713.41,Income
2025-03-13,STEAM,-91.85,Entertainment
2025-07-22,MORTGAGE,-1585.93,Rent
2025-04-20,WEGMANS store #673,-171.35,Groceries
2025-04-06,SHELL,-31.95,Transport
2025-03-21,DOMINOS,-97.94,Dining
2025-06-30,QUEST DIAGNOSTICS store #657,-58.49,Health
2025-07-11,DELTA,-149.28,Transport
2025-10-01,MTA,-196.3,Transport
2025-08-08,NETFLIX store #477,-77.39,Entertainment
2025-07-20,NIKE,-90.79,Shopping
2025-05-06,DIRECT DEPOSIT store #496,4467.29,Income
2025-11-04,PAYROLL,4908.64,Income
2025-07-14,HULU,-8.79,Entertainment
2025-03-21,DIRECT DEPOSIT,2395.85,Income
2025-09-08,NETFLIX,-184.74,Entertainment
2025-05-31,POS PURCHASE PLAYSTATION,-83.36,Entertainment
2025-04-29,MORTGAGE,-1735.63,Rent
2025-12-03,COMCAST,-197.28,Utilities
2026-01-09,CITY ELECTRIC,-137.09,Utilities
2026-01-12,WHOLE FOODS store #159,-119.27,Groceries
2025-06-22,NIKE,-84.59,Shopping
2026-01-10,DOCTOR store #285,-82.8,Health
2025-08-28,CINEMA store #822,-167.5,Entertainment
2025-06-11,CITY ELECTRIC store #760,-72.11,Utilities
2025-03-09,POS PURCHASE LEASING OFFICE store #826,-1086.06,Rent
2025-02-17,APARTMENT RENT,-1333.71,Rent
2025-06-15,DIVIDEND store #788,2334.79,Income
2026-02-07,H&M,-106.97,Shopping
2025-03-11,KROGER store #199,-164.43,Groceries
2025-02-24,QUEST DIAGNOSTICS,-17.16,Health
2025-04-10,UNIQLO store #878,-192.29,Shopping
2025-12-04,ALDI store #739,-41.38,Groceries
2025-05-18,REFUND,4819.48,Income
2025-02-11,ALDI,-149.74,Groceries
2025-12-26,WATER DEPT,-82.04,Utilities
2025-05-09,ALDI,-49.96,Groceries
2025-12-14,DOCTOR,-189.18,Health
2025-07-09,PUBLIX,-52.9,Groceries
2025-07-04,HULU,-122.16,Entertainment
2026-02-04,VERIZON,-154.84,Utilities
2025-09-28,SPOTIFY,-152.22,Entertainment
2025-05-17,BEST BUY,-63.9,Shopping
2025-06-21,LEASING OFFICE store #744,-1203.27,Rent
2025-09-06,PAYROLL,2915.13,Income
2025-05-17,HOSPITAL,-42.84,Health
2025-07-19,HOSPITAL,-190.93,Health
2025-12-30,DUKE ENERGY,-73.09,Utilities
2025-09-20,AT&T,-21.83,Utilities
2025-08-08,TACO BELL,-191.46,Dining
2025-05-31,WATER DEPT,-131.29,Utilities
2025-03-12,CVS,-95.27,Health
2025-06-13,EXXON,-108.09,Transport
2025-03-11,TRADER JOE'S store #600,-151.4,Groceries
2025-05-03,CHEVRON store #630,-136.69,Transport
2025-07-15,DOORDASH,-114.66,Dining
2025-04-08,SUBWAY,-144.33,Dining
2025-11-13,TRADER JOE'S,-32.36,Groceries
2025-08-17,NIKE,-166.23,Shopping
2025-04-01,WHOLE FOODS store #670,-197.62,Groceries
2025-02-14,MTA,-146.04,Transport
2025-11-24,APARTMENT RENT,-1038.21,Rent
2025-06-13,CVS,-174.47,Health
2025-03-24,UNIQLO,-73.67,Shopping
2025-11-23,WATER DEPT,-54.44,Utilities
2025-11-04,APARTMENT RENT store #128,-1741.6,Rent
2025-09-08,CITY ELECTRIC store #134,-156.5,Utilities
2026-01-29,VERIZON store #825,-110.79,Utilities
2025-11-23,DIRECT DEPOSIT,3496.24,Income
2025-06-24,SHELL,-53.84,Transport
2025-02-25,DIRECT DEPOSIT store #889,2870.35,Income
2026-02-07,VERIZON store #806,-15.49,Utilities
2025-06-20,POS PURCHASE APARTMENT RENT,-1400.96,Rent
2025-02-23,WEGMANS,-25.66,Groceries
2025-05-19,TACO BELL,-50.31,Dining
2025-05-25,AT&T store #582,-160.85,Utilities
2025-03-30,CHEVRON store #248,-71.64,Transport
2025-11-29,DENTIST store #887,-54.67,Health
2025-03-04,CVS,-18.16,Health
2025-08-07,DIVIDEND,4783.36,Income
2025-04-23,POS PURCHASE REFUND,4124.73,Income
2025-12-05,CITY ELECTRIC,-169.34,Utilities
2025-12-01,REFUND,3514.45,Income
2025-07-09,DISNEY+ store #380,-118.65,Entertainment
2025-11-20,NETFLIX store #794,-149.25,Entertainment
2026-01-13,CHEVRON,-94.16,Transport
2025-02-11,APPLE,-66.58,Shopping
2025-05-07,POS PURCHASE CHEVRON store #788,-154.19,Transport
2025-10-28,POS PURCHASE COMCAST,-170.46,Utilities
2025-10-04,POS PURCHASE VERIZON,-182.37,Utilities
2025-07-21,CHEVRON,-193.15,Transport
2025-08-01,CITY ELECTRIC,-149.1,Utilities
2025-06-26,NIKE store #165,-68.36,Shopping
2025-04-12,REFUND,2880.74,Income
2025-06-23,SALARY store #886,3332.53,Income
2026-02-07,POS PURCHASE BEST BUY store #805,-24.19,Shopping
2025-05-06,COMCAST,-146.84,Utilities
2026-01-20,SUBWAY,-24.72,Dining
2025-04-05,STARBUCKS,-54.77,Dining
2025-07-12,DENTIST store #525,-150.96,Health
2025-03-04,SPOTIFY store #126,-19.31,Entertainment
2025-09-21,COMCAST store #393,-195.3,Utilities
2025-09-29,REFUND,4381.28,Income
2025-03-13,HULU,-149.4,Entertainment
2025-05-05,APPLE store #112,-83.29,Shopping
2025-08-24,BP,-149.07,Transport
2025-07-14,CITY ELECTRIC,-166.85,Utilities
2025-05-05,REFUND store #553,4782.34,Income
2025-10-19,DOORDASH store #716,-198.72,Dining
2025-06-02,UBER EATS,-56.61,Dining
2025-06-10,SHELL,-191.55,Transport
2025-09-09,APARTMENT RENT store #339,-1552.01,Rent
2025-10-29,ALDI,-64.79,Groceries
2025-04-16,LYFT,-145.43,Transport
2025-08-18,AMTRAK,-75.86,Transport
2025-12-20,DIRECT DEPOSIT,2040.35,Income
2025-05-12,DOCTOR store #322,-182.87,Health
2026-01-28,TRADER JOE'S store #224,-190.63,Groceries
2025-06-29,HULU store #710,-106.73,Entertainment
2025-06-25,APARTMENT RENT,-1107.65,Rent
2025-12-08,KROGER,-117.73,Groceries
2025-12-28,AMAZON,-154.77,Shopping
2025-11-13,DUKE ENERGY,-35.7,Utilities
2025-05-20,DIRECT DEPOSIT,3214.9,Income
2025-04-07,SAFEWAY,-22.93,Groceries
2025-10-18,REFUND,3007.28,Income
2025-12-04,STEAM,-50.71,Entertainment
2025-05-03,EXXON,-93.43,Transport
2025-07-03,CVS,-29.15,Health
2025-06-24,PLAYSTATION,-152.78,Entertainment
2025-04-06,NETFLIX store #458,-199.93,Entertainment
2025-08-11,HOSPITAL,-125.64,Health
2025-09-04,SPOTIFY store #865,-184.51,Entertainment
2026-02-07,DELTA,-123.0,Transport
2025-03-14,WATER DEPT store #143,-108.56,Utilities
2025-10-11,KROGER,-17.42,Groceries
2025-12-02,APARTMENT RENT,-1825.69,Rent
2025-05-20,SALARY store #872,4641.5,Income
2025-06-22,DELTA,-147.55,Transport
2025-09-28,DIVIDEND,4895.45,Income
2025-03-15,SUBWAY store #607,-97.28,Dining
2025-05-15,AMTRAK,-52.21,Transport
2025-05-07,WALGREENS,-93.37,Health
2026-02-07,UNIQLO,-99.57,Shopping
2025-12-30,POS PURCHASE COMCAST,-94.26,Utilities
2025-11-26,DIRECT DEPOSIT store #699,3734.37,Income
2025-05-16,APARTMENT RENT,-1009.38,Rent
2025-10-16,CHIPOTLE,-87.32,Dining
2025-02-28,DOMINOS store #688,-74.8,Dining
2025-08-02,POS PURCHASE VERIZON,-184.35,Utilities
2026-01-12,SALARY store #148,4212.19,Income
2025-04-18,APPLE store #983,-170.86,Shopping
2025-11-24,HOSPITAL store #152,-79.5,Health
2025-10-17,PLAYSTATION store #984,-174.65,Entertainment
2025-04-26,DELTA,-28.07,Transport
2025-07-13,DIRECT DEPOSIT,3980.49,Income
2025-10-28,POS PURCHASE KROGER,-126.62,Groceries
2025-12-04,AT&T,-41.77,Utilities
2025-06-19,EXXON,-185.95,Transport
2026-01-09,TRADER JOE'S,-57.39,Groceries
2025-11-10,HOSPITAL,-184.77,Health
2025-04-21,MCDONALDS,-75.0,Dining
2026-01-02,POS PURCHASE HULU,-59.97,Entertainment
2025-07-18,SALARY,4875.08,Income
2026-01-22,COMCAST,-39.0,Utilities
2026-01-21,BEST BUY store #549,-54.32,Shopping
2025-10-15,COMCAST,-36.2,Utilities
2026-01-20,TARGET,-168.53,Shopping
2026-01-05,POS PURCHASE WHOLE FOODS store #260,-180.77,Groceries
2026-01-08,UNIQLO,-163.05,Shopping
2025-07-18,SUBWAY store #153,-116.6,Dining
2025-02-28,DOCTOR,-55.57,Health
2026-01-19,APARTMENT RENT,-1162.77,Rent
2025-06-08,POS PURCHASE PLAYSTATION store #609,-36.46,Entertainment
2025-04-12,SOUTHWEST store #653,-83.86,Transport
2025-04-02,PUBLIX store #547,-138.77,Groceries
2025-12-21,POS PURCHASE DISNEY+,-144.17,Entertainment
2025-08-21,PAYROLL,2539.03,Income
2025-07-31,WEGMANS,-76.69,Groceries
2025-04-11,DOMINOS,-66.26,Dining
2025-11-12,QUEST DIAGNOSTICS,-18.49,Health
2025-07-05,MCDONALDS,-30.31,Dining
2025-06-21,HOSPITAL,-102.73,Health
2025-08-11,SUBWAY store #577,-128.36,Dining
2025-11-10,DENTIST store #944,-78.9,Health
2025-06-09,UBER EATS,-179.26,Dining
2025-05-16,UNIQLO store #850,-9.8,Shopping
2025-06-08,NIKE store #513,-71.71,Shopping
2025-10-19,DUKE ENERGY store #322,-91.28,Utilities
2025-11-01,PLAYSTATION store #532,-166.98,Entertainment
2025-11-28,POS PURCHASE DIVIDEND,3219.12,Income
2026-01-20,LYFT,-90.11,Transport
2025-02-28,ALDI,-164.32,Groceries
2025-07-07,WATER DEPT,-72.39,Utilities
2025-10-24,WHOLE FOODS,-126.73,Groceries
2025-12-12,DUKE ENERGY,-27.44,Utilities
2025-05-19,SAFEWAY,-181.46,Groceries
2026-01-08,LEASING OFFICE store #362,-1491.86,Rent
2025-09-16,WHOLE FOODS,-158.02,Groceries
2026-01-14,LEASING OFFICE,-1482.69,Rent
2025-05-12,TRADER JOE'S,-102.31,Groceries
2026-02-08,POS PURCHASE TACO BELL,-132.5,Dining
2025-02-27,WALGREENS store #873,-107.7,Health
2025-03-12,MORTGAGE,-1687.38,Rent
2025-06-28,REFUND store #674,2210.74,Income
2025-04-04,MORTGAGE,-1081.66,Rent
2025-09-28,WATER DEPT,-75.16,Utilities
2025-07-07,PAYROLL,3647.32,Income
2025-03-08,SALARY store #756,3823.15,Income
2026-01-05,WEGMANS,-30.39,Groceries
2025-02-11,LEASING OFFICE store #901,-1434.87,Rent
2025-12-13,POS PURCHASE KROGER store #654,-147.33,Groceries
2025-09-06,LEASING OFFICE,-1440.77,Rent
2025-10-21,DISNEY+ store #220,-115.95,Entertainment
2025-08-05,DUNKIN,-29.37,Dining
2025-03-25,CINEMA,-130.32,Entertainment
2026-02-06,DUKE ENERGY,-98.24,Utilities
2025-09-16,DOMINOS,-188.12,Dining
2025-04-17,DIRECT DEPOSIT store #122,2438.05,Income
2025-09-17,DUNKIN store #130,-14.13,Dining
2025-05-30,AMAZON,-100.49,Shopping
2025-03-30,MORTGAGE,-1533.75,Rent
2025-04-01,APARTMENT RENT store #828,-1897.81,Rent
2025-12-04,PAYROLL,3486.03,Income
2025-04-07,POS PURCHASE HOSPITAL,-109.72,Health
2026-02-03,MCDONALDS,-114.37,Dining
2025-12-29,REFUND,4675.8,Income
2025-12-28,WALMART store #746,-155.02,Groceries
2025-06-04,POS PURCHASE UBER EATS,-143.52,Dining
2026-01-15,STEAM,-140.64,Entertainment
2025-06-03,BEST BUY store #301,-54.56,Shopping
2025-06-19,DUKE ENERGY,-198.63,Utilities
2025-02-19,HOSPITAL,-32.27,Health
2025-12-24,MORTGAGE,-1593.08,Rent
2025-03-02,SALARY store #175,2401.03,Income
2025-06-11,ZARA,-154.57,Shopping
2025-11-17,DOORDASH,-180.84,Dining
2025-08-17,SALARY,4365.81,Income
2025-07-18,SPOTIFY,-128.27,Entertainment
2025-04-11,DIVIDEND store #636,2294.41,Income
2025-09-10,DELTA store #572,-62.2,Transport
2025-06-14,TARGET,-126.96,Shopping
2026-01-22,AMAZON,-157.83,Shopping
2026-01-28,ZARA,-36.13,Shopping
2025-09-13,AMAZON,-121.78,Shopping
2026-01-31,UNIQLO,-169.18,Shopping
2025-11-21,CHEVRON,-83.71,Transport
2025-08-08,CITY ELECTRIC,-23.79,Utilities
2025-10-25,TACO BELL,-54.12,Dining
2025-06-02,ALDI,-84.58,Groceries
2025-07-23,LYFT,-76.98,Transport
2025-12-19,ALDI store #370,-108.41,Groceries
2025-09-08,WALGREENS,-32.5,Health
2025-04-15,ALDI,-167.42,Groceries
2025-06-14,DIRECT DEPOSIT store #182,3572.89,Income
2025-02-24,CHIPOTLE,-196.96,Dining
2025-12-16,CHEVRON,-127.94,Transport
2025-06-25,HOSPITAL store #335,-51.5,Health
2025-06-25,SPOTIFY,-109.35,Entertainment
2025-07-09,ZARA,-170.54,Shopping
