d
ate,description,amount,category
2024-06-10,Coffee Shop,-5.50,Food
2024-06-11,Gas Station,-58.00,Transportation
2024-06-12,Vacation Booking,-800.00,Travel
2024-06-13,Restaurant Dinner,-72.00,Food
2024-06-14,Spotify Premium,-9.99,Entertainment
2024-06-15,Gym Membership,-50.00,Health
2024-06-16,Grocery Store,-145.00,Groceries
2024-06-17,Airport Parking,-95.00,Transportation
2024-06-18,Phone Bill,-85.00,Utilities
2024-06-19,Coffee Shop,-6.25,Food
2024-06-20,Large ATM Withdrawal,-500.00,Cash
2024-06-21,Freelance Project,1500.00,Income
2024-06-22,Insurance Premium,-150.00,Insurance
2024-06-23,Grocery Store,-88.00,Groceries
2024-06-24,Fine Dining,-185.00,Food
2024-06-25,Gas Station,-62.00,Transportation
2024-06-26,VPN Subscription,-12.99,Technology
2024-06-27,Coffee Shop,-5.50,Food
2024-06-28,Prescription Medicine,-75.00,Health
2024-06-29,Gift Purchase,-120.00,Shopping
2024-06-30,Internet Bill,-70.00,Utilities
